year,ID,month,site,date,conductivity,temp,pressure,chlorophyll,DO_sat,PAR,pH,depth,salinity,conductivity_spc,density_anomaly,DO_conc,river
2021,3-PX-6,March,PX6,26/03/2021,0.446340829,13.79544067,28.60295486,0.281417847,66.87585449,0.077148438,7.8734598159999996,18.31983376,0.276939034,567.8687744,-0.423689543,6.896197973,PX
2021,3-PX-6,March,PX6,26/03/2021,0.442293286,13.81414795,28.27238464,0.279205322,67.14703369,0.096191406,7.88056469,17.99196053,0.274229646,562.4634399,-0.429919613,6.921415991,PX
2021,3-PX-6,March,PX6,26/03/2021,0.43696332,13.86721802,27.87995911,0.279296875,67.56797791,0.107421875,7.88907814,17.60273361,0.270477593,554.9699707,-0.442000493,6.956809663,PX
2021,3-PX-6,March,PX6,26/03/2021,0.433555067,13.91107178,27.4834938,0.282089233,68.12094116,0.135253906,7.883162975,17.20950127,0.268019795,550.0561523,-0.451846815,7.007065486,PX
2021,3-PX-6,March,PX6,26/03/2021,0.43083024,13.92614746,27.05617142,0.285186768,68.59970856,0.176269531,7.890782356,16.7856636,0.266190708,546.3994751,-0.457365458,7.054046374,PX
2021,3-PX-6,March,PX6,26/03/2021,0.430382639,13.9362793,26.627567290000002,0.290725708,68.90433502,0.215820313,7.889179707,16.36055565,0.265841603,545.697937,-0.461054724,7.083803337,PX
2021,3-PX-6,March,PX6,26/03/2021,0.429337919,13.94537354,26.21580505,0.289916992,69.22492218,0.267089844,7.892998695,15.9521513,0.265120327,544.253418,-0.46481076,7.115366649,PX
2021,3-PX-6,March,PX6,26/03/2021,0.426110357,13.95846558,25.81691933,0.292404175,69.58840179,0.321777344,7.901938438,15.5565176,0.262988657,539.9907837,-0.47016007,7.150757532,PX
2021,3-PX-6,March,PX6,26/03/2021,0.424113214,13.99258423,25.38934708,0.290725708,69.98438263,0.40625,7.896769524,15.13243198,0.261504054,537.0164185,-0.478079378,7.186109215,PX
2021,3-PX-6,March,PX6,26/03/2021,0.421838045,14.02746582,24.9693718,0.29385376,70.33402252,0.491699219,7.912893295,14.7158823,0.259841472,533.6853638,-0.486221476,7.216539429,PX
2021,3-PX-6,March,PX6,26/03/2021,0.416134059,14.05722046,24.56275749,0.301055908,70.84372711,0.592773438,7.914102554,14.31258297,0.256047219,526.0907593,-0.495249682,7.264248341,PX
2021,3-PX-6,March,PX6,26/03/2021,0.414641619,14.10275269,24.1462326,0.298446655,71.39684296,0.723144531,7.917412758,13.89945507,0.254821181,523.6282349,-0.50456366,7.313691223,PX
2021,3-PX-6,March,PX6,26/03/2021,0.408372909,14.14425659,23.7473259,0.316162109,72.04259491,0.889648438,7.927134037,13.50380135,0.250613242,515.196106,-0.515564097,7.373302288,PX
2021,3-PX-6,March,PX6,26/03/2021,0.405455709,14.17666626,23.32774734,0.315200806,72.69042206,1.087402344,7.932611942,13.08764458,0.248580426,511.1166382,-0.523700691,7.434403685,PX
2021,3-PX-6,March,PX6,26/03/2021,0.402471513,14.21939087,22.90274048,0.308319092,73.21108246,1.331542969,7.935185432,12.66610336,0.246447429,506.8334045,-0.533420594,7.480732974,PX
2021,3-PX-6,March,PX6,26/03/2021,0.39706102,14.2532959,22.51004219,0.309463501,73.75810242,1.606933594,7.941322803,12.27660751,0.242849872,499.6125488,-0.542886966,7.531190635,PX
2021,3-PX-6,March,PX6,26/03/2021,0.39288193,14.29840088,22.10724258,0.309448242,74.43662262,1.895507813,7.952471733,11.87709236,0.239966914,493.8187561,-0.553463152,7.593094495,PX
2021,3-PX-6,March,PX6,26/03/2021,0.389846832,14.33557129,21.68477249,0.320678711,75.28195953,2.243164063,7.958844662,11.45806789,0.237853035,489.5670166,-0.562416485,7.673173746,PX
2021,3-PX-6,March,PX6,26/03/2021,0.385003716,14.40313721,21.29496765,0.308502197,76.31105042,2.598632813,7.96940136,11.07144165,0.234441876,482.7028198,-0.57662734,7.766732206,PX
2021,3-PX-6,March,PX6,26/03/2021,0.381077349,14.52380371,20.88326645,0.32484436,77.54382324,3.034667969,7.989352226,10.66309738,0.231317922,476.4034729,-0.598504141,7.871565306,PX
2021,3-PX-6,March,PX6,26/03/2021,0.374510944,14.61187744,20.47070694,0.322601318,79.00801086,3.551269531,8.011693001,10.25390244,0.226756781,467.2119446,-0.616871615,8.005024384,PX
2021,3-PX-6,March,PX6,26/03/2021,0.371177316,14.67471313,20.0731144,0.331878662,80.43836975,4.127929688,8.025930405,9.859552383,0.224353105,462.3608398,-0.629853062,8.138915797,PX
2021,3-PX-6,March,PX6,26/03/2021,0.37037006,14.71105957,19.62869072,0.341598511,81.62107849,4.874511719,8.037590981,9.41875267,0.223659709,460.9566956,-0.637844078,8.252086882,PX
2021,3-PX-6,March,PX6,26/03/2021,0.369908035,14.75457764,19.20208168,0.349136353,82.67736053,5.73046875,8.06125164,8.995622635,0.223142296,459.9058533,-0.646696025,8.350995028,PX
2021,3-PX-6,March,PX6,26/03/2021,0.368073761,14.78384399,18.80073547,0.388137817,83.63193512,6.648925781,8.068404198,8.597548485,0.221855894,457.3075256,-0.65392325,8.44210622,PX
2021,3-PX-6,March,PX6,26/03/2021,0.367123127,14.87127686,18.3960762,0.413101196,84.50048828,7.711425781,8.085348129,8.19618988,0.220808104,455.1820374,-0.669695433,8.513649902,PX
2021,3-PX-6,March,PX6,26/03/2021,0.36531347,14.96685791,17.98276901,0.402313232,85.33924866,8.97265625,8.09439373,7.786252499,0.219195023,451.9153748,-0.687265103,8.580434592,PX
2021,3-PX-6,March,PX6,26/03/2021,0.364612192,15.02224731,17.55838394,0.426071167,86.15122986,10.52734375,8.101984978,7.365328312,0.218477204,450.458313,-0.698189462,8.651725595,PX
2021,3-PX-6,March,PX6,26/03/2021,0.365501076,15.10842896,17.13461685,0.466796875,86.87700653,12.24853516,8.108708382,6.945016861,0.218573242,450.6400452,-0.713213459,8.708351935,PX
2021,3-PX-6,March,PX6,26/03/2021,0.36452502,15.16860962,16.71357155,0.448974609,87.57509613,14.20800781,8.117381096,6.527405262,0.217665926,448.8005981,-0.725093589,8.766965703,PX
2021,3-PX-6,March,PX6,26/03/2021,0.362924159,15.20687866,16.32552719,0.456039429,88.24968719,16.30078125,8.13711071,6.142525196,0.216493383,446.427887,-0.733691717,8.827263223,PX
2021,3-PX-6,March,PX6,26/03/2021,0.363442272,15.28210449,15.89950943,0.514373779,88.83703613,18.85595703,8.147088051,5.71998167,0.216423318,446.2764282,-0.747340815,8.871607638,PX
2021,3-PX-6,March,PX6,26/03/2021,0.363087058,15.35302734,15.50317574,0.469940186,89.28285217,21.61523438,8.156679153,5.326879978,0.215845048,445.0999146,-0.760640147,8.9025445,PX
2021,3-PX-6,March,PX6,26/03/2021,0.36252746,15.38568115,15.06304932,0.451004028,89.591629029999993,25.08251953,8.167204857,4.890342236,0.215339899,444.0743713,-0.768168025,8.927082652,PX
2021,3-PX-6,March,PX6,26/03/2021,0.363205165,15.41317749,14.63630676,0.462921143,90.04051971,29.00585938,8.178421974,4.467079639,0.215611756,444.6185303,-0.774238004,8.966489207,PX
2021,3-PX-6,March,PX6,26/03/2021,0.36284408,15.47094727,14.20945168,0.471542358,90.4397583,33.68359375,8.181488037,4.043705463,0.215099901,443.5773621,-0.785668355,8.995093578,PX
2021,3-PX-6,March,PX6,26/03/2021,0.36234194,15.5329895,13.79979324,0.44090271,90.71744537,38.625,8.178865433,3.637387753,0.214482397,442.3226929,-0.797811375,9.010728696,PX
2021,3-PX-6,March,PX6,26/03/2021,0.363062888,15.55960083,13.38518333,0.45715332,91.01003265,44.34619141,8.192625046,3.226159096,0.214784294,442.927948,-0.80370707,9.034611501,PX
2021,3-PX-6,March,PX6,26/03/2021,0.363857746,15.58435059,12.94450378,0.45526123,91.12627411,51.14501953,8.198328018,2.78907299,0.215139896,443.6418152,-0.809395903,9.041328453,PX
2021,3-PX-6,March,PX6,26/03/2021,0.363441467,15.62216187,12.53134537,0.445068359,91.28656769,58.44628906,8.200788498,2.379283905,0.214698151,442.7443848,-0.817651077,9.049915176,PX
2021,3-PX-6,March,PX6,26/03/2021,0.363846779,15.64254761,12.10800362,0.469711304,91.36557007,67.49316406,8.207588196,1.959394336,0.214840487,443.0279846,-0.822747833,9.053782173,PX
2021,3-PX-6,March,PX6,26/03/2021,0.363847882,15.66619873,11.69211388,0.469711304,91.36322021,67.49316406,8.207505226,1.546895981,0.214722544,442.7857666,-0.828535246,9.048968668,PX
2021,3-PX-6,March,PX6,26/03/2021,0.363417894,15.71865845,11.11426067,0.42477417,91.8510437,90.96582031,8.217208862,0.973755002,0.214200348,441.7239075,-0.839991659,9.08709933,PX
2021,3-PX-6,March,PX6,26/03/2021,0.36509791,15.75210571,10.86115456,0.434173584,91.98165131,96.79199219,8.219838142,0.722712874,0.215042502,443.4215698,-0.845866816,9.093463063,PX
2021,3-PX-6,March,PX6,26/03/2021,0.36456728,15.81109619,10.44098759,0.438110352,92.21891022,114.1542969,8.223752022,0.305972278,0.214426965,442.1720276,-0.857761763,9.105460194,PX
2021,3-PX-5,March,PX5,26/03/2021,0.439837426,13.46951294,43.8146553,0.255462646,62.600914,NA,7.789642334,33.40748596,0.274942666,564.0621338,-0.309638928,6.502244413,PX
2021,3-PX-5,March,PX5,26/03/2021,0.439912051,13.46987915,43.79605103,0.249893188,62.51306915,NA,7.79891634,33.38903427,0.274988204,564.152771,-0.30973988,6.493065455,PX
2021,3-PX-5,March,PX5,26/03/2021,0.441126317,13.47149658,43.75775146,0.252288818,62.397789,NA,7.802788258,33.35104752,0.275758564,565.687561,-0.309537061,6.480827758,PX
2021,3-PX-5,March,PX5,26/03/2021,0.440516412,13.47338867,43.51828003,0.253128052,62.38405991,NA,7.814828873,33.11352921,0.275354147,564.8792725,-0.311229257,6.479145621,PX
2021,3-PX-5,March,PX5,26/03/2021,0.440187871,13.47351074,43.16426468,0.253417969,62.41752625,0,7.810992241,32.76240158,0.275143206,564.4562988,-0.313071728,6.482612285,PX
2021,3-PX-5,March,PX5,26/03/2021,0.43982324,13.47305298,42.93217087,0.253631592,62.51847839,0.001953125,7.806435108,32.53219986,0.274912655,563.9949951,-0.314279413,6.493172375,PX
2021,3-PX-5,March,PX5,26/03/2021,0.440868109,13.4737854,42.82256317,0.251556396,62.62517929,NA,7.811848164,32.4234848,0.275580317,565.3247681,-0.31437278,6.50412159,PX
2021,3-PX-5,March,PX5,26/03/2021,0.44060266,13.47216797,42.70394516,0.252822876,62.70338821,NA,7.7961483,32.30583572,0.275421023,565.0067139,-0.31483702,6.51248469,PX
2021,3-PX-5,March,PX5,26/03/2021,0.440383106,13.47229004,42.49777222,0.252456665,62.75769806,NA,7.805114746,32.10134506,0.275279671,564.7235107,-0.315931282,6.518113431,PX
2021,3-PX-5,March,PX5,26/03/2021,0.441334665,13.47277832,42.26026535,0.251373291,62.83994293,NA,7.813626289,31.86577415,0.275889486,565.9369507,-0.316637431,6.526560054,PX
2021,3-PX-5,March,PX5,26/03/2021,0.440017283,13.47302246,41.92316818,0.251068115,62.84856415,NA,7.812654972,31.53142548,0.275041521,564.2442627,-0.318912337,6.527454316,PX
2021,3-PX-5,March,PX5,26/03/2021,0.440290064,13.4730835,41.50822449,0.267471313,62.87227249,0.003417969,7.810334206,31.11986542,0.275218129,564.5932007,-0.32073132,6.529900669,PX
2021,3-PX-5,March,PX5,26/03/2021,0.441124052,13.47283936,41.08047485,0.258575439,62.86578369,9.76563e-4,7.802153587,30.69560432,0.275758058,565.6660767,-0.322287001,6.529240335,PX
2021,3-PX-5,March,PX5,26/03/2021,0.440905988,13.47494507,40.69318771,0.253173828,62.88420105,NA,7.806466103,30.31147385,0.275604755,565.3572388,-0.324506475,6.530853776,PX
2021,3-PX-5,March,PX5,26/03/2021,0.440629065,13.47753906,40.2709465,0.254013062,62.92444992,0.004394531,7.803377628,29.89267731,0.275410444,564.9662476,-0.326987369,6.534665041,PX
2021,3-PX-5,March,PX5,26/03/2021,0.440630198,13.47940063,39.88563538,0.254013062,62.92294693,0.004394531,7.803373337,29.51050758,0.275399894,564.9419556,-0.329053916,6.534239109,PX
2021,3-PX-5,March,PX5,26/03/2021,0.440449983,13.48025513,39.23968887,0.248153687,63.11498642,0.008789063,7.817085743,28.86982918,0.275280565,564.6990967,-0.332293948,6.554061878,PX
2021,3-PX-5,March,PX5,26/03/2021,0.440226138,13.47970581,39.03512573,0.249359131,63.16470718,NA,7.826408863,28.66693306,0.27514112,564.4196777,-0.333289311,6.559310759,PX
2021,3-PX-5,March,PX5,26/03/2021,0.438647509,13.47903442,38.60350037,0.251235962,63.23244476,0.0078125,7.819764137,28.23882866,0.274131894,562.4049683,-0.336010981,6.566483924,PX
2021,3-PX-5,March,PX5,26/03/2021,0.438974887,13.48046875,38.180244449999996,0.255661011,63.27767563,NA,7.817132473,27.81902313,0.274334252,562.8049316,-0.338032901,6.57096336,PX
2021,3-PX-5,March,PX5,26/03/2021,0.43892476,13.48620605,37.77621841,0.251953125,63.31716919,NA,7.821882248,27.418293,0.274264514,562.6616821,-0.340752441,6.574229298,PX
2021,3-PX-5,March,PX5,26/03/2021,0.439015239,13.49526978,37.41667175,0.255126953,63.4607048,NA,7.821118832,27.06167793,0.27426219,562.65271,-0.343656863,6.587806165,PX
2021,3-PX-5,March,PX5,26/03/2021,0.438769937,13.50253296,36.99004364,0.253189087,63.57474136,0.009277344,7.81676054,26.63852882,0.274056703,562.2384033,-0.346793591,6.598588011,PX
2021,3-PX-5,March,PX5,26/03/2021,0.439450294,13.51135254,36.58236694,0.251724243,63.72230911,0.012695313,7.826944351,26.23417664,0.27443549,562.9887085,-0.349596341,6.612593629,PX
2021,3-PX-5,March,PX5,26/03/2021,0.440025985,13.51620483,36.16408157,0.254211426,63.82936859,0.007324219,7.831115723,25.81930161,0.274774015,563.6592407,-0.351948221,6.622975876,PX
2021,3-PX-5,March,PX5,26/03/2021,0.441942066,13.5194397,35.74969864,0.254592896,63.92280197,0.015625,7.819573402,25.40829849,0.275984913,566.0689087,-0.353386279,6.632144482,PX
2021,3-PX-5,March,PX5,26/03/2021,0.442158937,13.52349854,35.32487488,0.253433228,63.9817009,0.022460938,7.825025082,24.98693848,0.276098102,566.2904663,-0.355837873,6.637652545,PX
2021,3-PX-5,March,PX5,26/03/2021,0.44216615,13.52758789,34.89698792,0.252212524,64.10620117,0.025878906,7.821176052,24.56254196,0.276076257,566.243042,-0.358413115,6.649965708,PX
2021,3-PX-5,March,PX5,26/03/2021,0.442532301,13.53277588,34.49503708,0.254867554,64.18273926,0.033203125,7.824920177,24.16386795,0.276277512,566.6400146,-0.36084094,6.657130237,PX
2021,3-PX-5,March,PX5,26/03/2021,0.441250831,13.54162598,34.06953812,0.258499146,64.35999298,0.028320313,7.831563473,23.74183846,0.275395185,564.8768921,-0.364714905,6.674240476,PX
2021,3-PX-5,March,PX5,26/03/2021,0.441598266,13.5475769,33.66090393,0.262451172,64.53986359,0.042480469,7.835104465,23.33653641,0.275579214,565.239502,-0.367290903,6.692001836,PX
2021,3-PX-5,March,PX5,26/03/2021,0.440180421,13.56829834,33.23264694,0.253356934,64.78291321,0.051757813,7.843371391,22.91177177,0.274529099,563.1394043,-0.372909576,6.714158987,PX
2021,3-PX-5,March,PX5,26/03/2021,0.439643919,13.58163452,32.80851364,0.256256104,65.04545593,0.069824219,7.836000443,22.4910984,0.274095654,562.2697754,-0.377036799,6.739393205,PX
2021,3-PX-5,March,PX5,26/03/2021,0.438017726,13.60922241,32.41841125,0.257369995,65.43589783,0.075683594,7.836860657,22.10417747,0.272867292,559.8127441,-0.383551702,6.775752193,PX
2021,3-PX-5,March,PX5,26/03/2021,0.436579823,13.65667725,31.98383713,0.362319946,65.99885559,0.104003906,7.837995529,21.6731472,0.271627754,557.3294067,-0.392989903,6.826914399,PX
2021,3-PX-5,March,PX5,26/03/2021,0.430494577,13.68951416,31.58098602,0.262863159,66.5728302,0.130371094,7.854236603,21.27358055,0.267518252,549.1213989,-0.402543242,6.881455151,PX
2021,3-PX-5,March,PX5,26/03/2021,0.426451743,13.70703125,31.14167404,0.257232666,67.15592194,0.165527344,7.852800846,20.83785057,0.264822125,543.7324829,-0.409088917,6.939152135,PX
2021,3-PX-5,March,PX5,26/03/2021,0.425334156,13.71618652,30.72340775,0.257873535,67.66014099,0.178222656,7.863154411,20.42299461,0.264050364,542.1867065,-0.412900858,6.989869457,PX
2021,3-PX-5,March,PX5,26/03/2021,0.422066063,13.72235107,30.32534409,0.255371094,68.04322815,0.215332031,7.871164799,20.02817726,0.261926413,537.9400024,-0.417261353,7.028579031,PX
2021,3-PX-5,March,PX5,26/03/2021,0.42011869,13.72875977,29.90225601,0.255569458,68.42021942,0.260253906,7.872457981,19.60853958,0.260644585,535.3744507,-0.421118317,7.06657449,PX
2021,3-PX-5,March,PX5,26/03/2021,0.4180336,13.73690796,29.49642563,0.254623413,68.82571411,0.294921875,7.88279295,19.20601845,0.259264499,532.6117554,-0.425208996,7.107234049,PX
2021,3-PX-5,March,PX5,26/03/2021,0.41221258,13.74749756,29.03710556,0.261871338,69.28781891,0.3671875,7.88192606,18.75044441,0.255490571,525.0599365,-0.431746259,7.153443917,PX
2021,3-PX-5,March,PX5,26/03/2021,0.407149434,13.7550354,28.62575912,0.256668091,69.76137543,0.419921875,7.893693447,18.342453,0.25222221,518.515564,-0.437248557,7.201279823,PX
2021,3-PX-5,March,PX5,26/03/2021,0.405689716,13.76065063,28.16179657,0.250061035,70.10865021,0.491699219,7.888276577,17.88227272,0.2512604,516.5860596,-0.440941719,7.236272403,PX
2021,3-PX-5,March,PX5,26/03/2021,0.39871648,13.76754761,27.7306366,0.254516602,70.51547241,0.5859375,7.90211153,17.4546299,0.246786714,507.621521,-0.447387002,7.27735382,PX
2021,3-PX-5,March,PX5,26/03/2021,0.396832108,13.7749939,27.26880646,0.255249023,70.96522522,0.68359375,7.905853748,16.99656487,0.245546132,505.131012,-0.451538616,7.32261974,PX
2021,3-PX-5,March,PX5,26/03/2021,0.39220643,13.78662109,26.84332657,0.256378174,71.67366791,0.788085938,7.904470444,16.57455444,0.242541403,499.1018066,-0.457465509,7.393957604,PX
2021,3-PX-5,March,PX5,26/03/2021,0.387167722,13.82095337,26.39338684,0.248474121,72.3433075,0.909179688,7.906915665,16.12828445,0.239145264,492.2790527,-0.466935686,7.457534962,PX
2021,3-PX-5,March,PX5,26/03/2021,0.381767631,13.89395142,25.97227478,0.245803833,73.48298645,1.041992188,7.908296108,15.71060658,0.235305861,484.553894,-0.481976268,7.562999475,PX
2021,3-PX-5,March,PX5,26/03/2021,0.373696029,13.94900513,25.52458572,0.242324829,75.14871979,1.193847656,7.935825825,15.26656818,0.229900226,473.6768799,-0.495920647,7.725311746,PX
2021,3-PX-5,March,PX5,26/03/2021,0.367546171,14.00857544,25.10656738,0.24180603,76.51065063,1.367675781,7.95558691,14.85195827,0.225698978,465.2107544,-0.5094562,7.855205059,PX
2021,3-PX-5,March,PX5,26/03/2021,0.36482811,14.02868652,24.68047142,0.237808228,77.86264801,1.547851563,7.974570751,14.4293375,0.22388181099999999,461.546051,-0.515680106,7.990562357,PX
2021,3-PX-5,March,PX5,26/03/2021,0.362701237,14.07070923,24.23807716,0.229949951,79.52078247,1.7890625,7.996273994,13.99055099,0.222319946,458.3898315,-0.524864392,8.153261012,PX
2021,3-PX-5,March,PX5,26/03/2021,0.361812741,14.12649536,23.81490898,0.23274231,80.82862091,2.02734375,8.01240921,13.57083321,0.221463814,456.6520386,-0.535373731,8.277236969,PX
2021,3-PX-5,March,PX5,26/03/2021,0.361686856,14.17855835,23.38976479,0.229141235,81.98434448,2.290527344,8.02473259,13.14915562,0.221107051,455.9209595,-0.545012348,8.386009236,PX
2021,3-PX-5,March,PX5,26/03/2021,0.361369818,14.26934814,22.95012665,0.23085022,83.271698,2.592285156,8.03652668,12.71310329,0.220425159,454.527771,-0.560529845,8.500772708,PX
2021,3-PX-5,March,PX5,26/03/2021,0.362172157,14.3421936,22.50274658,0.242996216,84.6036377,2.930175781,8.050145149,12.26937103,0.220538631,454.7411194,-0.572980251,8.622961246,PX
2021,3-PX-5,March,PX5,26/03/2021,0.363422304,14.41021729,22.08901596,0.241775513,85.90207672,3.301757813,8.059592247,11.85901451,0.220955625,455.567627,-0.584402259,8.742251921,PX
