full_ID,ID,year,date,month,season,river,site,sample,ref,type,10_0,12_0,13_0,14_0,16_0,17_0,18_0,19_0,20_0,10_0_2oh,11_0_2oh,11_0_3oh,11_0_anteiso,12_0_anteiso,12_0_3oh,12_1_3oh,13_0_anteiso,13_0_iso,13_0_2oh,13_1_at_12_13,14_0_anteiso,14_0_iso,14_0_iso_3oh,14_1_w5c,15_0_2oh,15_0_anteiso,15_0_iso,15_0_iso_3oh,15_1_iso_g,15_1_iso_w9c,15_1_w5c,15_1_w8c,16_0_anteiso,16_0_n_alcohol,16_0_iso,16_0_iso_3oh,16_0_2oh,16_1_2oh,16_1_iso_h,16_1_w5c,16_1_w7c_alcohol,16_1_w9c,16_1_w11c,17_0_anteiso,17_0_cyclo,17_0_iso,17_0_3oh,17_0_10_methyl,17_1_anteiso_a,17_1_anteiso_w9c,17_1_w6c,17_1_w8c,18_0_iso,18_0_2oh,18_1_2oh,18_1_w5c,18_1_w7c_11_methyl,18_1_w9c,18_3_w6c_6_9_12,19_0_anteiso,19_0_cyclo_w8c,19_0_iso,20_0_iso,20_1_w7c,20_1_w9c,20_4_w6_9_12_15c,20_2_w6_9c,x16_1_w7c_16_1_w6c,x17_1_iso_i_anteiso_b,x18_0_ante_18_2_w6_9c,x19_1_w11c_19_1_w9c,x19_1_w7c_19_1_w6c,x18_1_w7c_18_1_w6c,x16_0_10_methyl_17_1_iso_w9c
2021-03-01-3-MD-4,3-MD-4,2021,1/03/2021,March,winter,MD,MD4,sediment,18,relative,NA,0.14,NA,0.86,18.96,0.76,15.62,12.21,0.43,NA,0.08,NA,NA,0.24,NA,NA,0.54,0.09,NA,NA,0.44,0.47,NA,0.23,NA,1.59,2.16,0.19,0.64,NA,0.42,NA,NA,NA,1.09,0.15,NA,NA,0.94,0.85,0.29,0.46,NA,2,1.53,2.73,NA,NA,3.58,NA,NA,0.71,NA,NA,0.31,3.47,2.22,1.65,NA,NA,1.7,NA,1.12,NA,NA,2.29,NA,2.6,NA,0.52,NA,1.23,3.81,8.7
2021-03-01-3-MD-4,3-MD-4,2021,1/03/2021,March,winter,MD,MD4,sediment,18,absolute,NA,0.114660115,NA,0.704340704,15.52825553,0.622440622,12.79279279,10,0.352170352,NA,6.55E-02,NA,NA,0.196560197,NA,NA,0.442260442,7.37E-02,NA,NA,0.36036036,0.384930385,NA,0.188370188,NA,1.302211302,1.769041769,0.155610156,0.524160524,NA,0.343980344,NA,NA,NA,0.892710893,0.122850123,NA,NA,0.76986077,0.696150696,0.237510238,0.376740377,NA,1.638001638,1.253071253,2.235872236,NA,NA,2.932022932,NA,NA,0.581490581,NA,NA,0.253890254,2.841932842,1.818181818,1.351351351,NA,NA,1.392301392,NA,0.917280917,NA,NA,1.875511876,NA,2.129402129,NA,0.425880426,NA,1.007371007,3.12039312,7.125307125
2021-05-09-5-PX-4,5-PX-4,2021,9/05/2021,May,spring,PX,PX4,sediment,4,relative,NA,0.31,NA,1.07,20.48,1.21,10.7,26.17,0.32,NA,0.28,0.48,NA,0.48,NA,NA,0.75,0.31,0.85,NA,0.96,0.49,NA,NA,NA,1.43,1.65,NA,0.85,NA,0.6,NA,0.57,NA,0.88,0.29,0.28,0.31,1.14,0.76,0.39,NA,NA,2.42,1.26,3.03,NA,NA,5.02,NA,NA,NA,NA,0.26,NA,0.55,NA,1.28,0.85,NA,0.87,NA,0.77,NA,NA,0.71,NA,2.71,NA,0.77,1.05,1.28,3.16,NA
2021-05-09-5-PX-4,5-PX-4,2021,9/05/2021,May,spring,PX,PX4,sediment,4,absolute,NA,0.118456248,NA,0.408865113,7.825754681,0.462361483,4.088651127,10,0.122277417,NA,0.10699274,0.183416125,NA,0.183416125,NA,NA,0.286587696,0.118456248,0.324799389,NA,0.366832251,0.187237295,NA,NA,NA,0.546427207,0.630492931,NA,0.324799389,NA,0.229270157,NA,0.217806649,NA,0.336262896,0.110813909,0.10699274,0.118456248,0.435613298,0.290408865,0.149025602,0,NA,0.924722965,0.481467329,1.157814291,NA,NA,1.918226977,NA,NA,NA,NA,9.94E-02,NA,0.21016431,NA,0.489109668,0.324799389,NA,0.332441727,NA,0.294230034,NA,NA,0.271303019,NA,1.035536874,NA,0.294230034,0.401222774,0.489109668,1.207489492,NA
2021-05-09-5-PX-5,5-PX-5,2021,9/05/2021,May,spring,PX,PX5,sediment,5,relative,NA,0.1,NA,1.75,20.76,1.12,9.83,15.15,0.48,NA,NA,0.17,NA,NA,NA,NA,0.19,0.16,0.41,NA,0.4,0.66,NA,NA,NA,1.88,2.47,0.61,0.73,NA,0.44,NA,0.5,NA,1.05,0.37,0.14,0.33,0.94,1.34,0.32,0.49,NA,1.84,1.55,2.66,NA,NA,3.12,NA,NA,1.09,NA,0.42,0.35,1.03,0.41,2.82,NA,NA,1.14,NA,0.55,NA,0.53,0.94,NA,5.06,NA,NA,NA,0.88,4.24,8.58
2021-05-09-5-PX-5,5-PX-5,2021,9/05/2021,May,spring,PX,PX5,sediment,5,absolute,NA,6.60E-02,NA,1.155115512,13.7029703,0.739273927,6.488448845,10,0.316831683,NA,NA,0.112211221,NA,NA,NA,NA,0.125412541,0.105610561,0.270627063,NA,0.264026403,0.435643564,NA,NA,NA,1.240924092,1.630363036,0.402640264,0.481848185,NA,0.290429043,NA,0.330033003,NA,0.693069307,0.244224422,9.24E-02,0.217821782,0.620462046,0.884488449,0.211221122,0.323432343,NA,1.214521452,1.02310231,1.755775578,NA,NA,2.059405941,NA,NA,0.719471947,NA,0.277227723,0.231023102,0.679867987,0.270627063,1.861386139,NA,NA,0.752475248,NA,0.363036304,NA,0.349834983,0.620462046,NA,3.339933993,NA,NA,NA,0.580858086,2.798679868,5.663366337
2021-05-09-5-PX-6,5-PX-6,2021,9/05/2021,May,spring,PX,PX6,sediment,6,relative,NA,0.11,NA,1.54,19.34,1.08,9.71,17.48,0.39,NA,NA,NA,NA,0.12,NA,NA,0.17,0.17,0.42,NA,0.38,0.63,0.24,NA,NA,1.63,2.16,0.7,0.7,0.18,0.48,NA,0.55,NA,0.92,0.33,0.29,NA,0.94,1.76,0.37,0.88,NA,1.91,1.38,2.46,NA,NA,3.28,NA,NA,1.01,NA,NA,0.35,1.18,NA,2.46,0.92,NA,0.93,NA,0.7,NA,0.54,1.78,NA,5.07,NA,NA,NA,0.89,4.57,6.89
2021-05-09-5-PX-6,5-PX-6,2021,9/05/2021,May,spring,PX,PX6,sediment,6,absolute,NA,6.29E-02,NA,0.881006865,11.06407323,0.61784897,5.554919908,10,0.223112128,NA,NA,NA,NA,6.86E-02,NA,NA,9.73E-02,9.73E-02,0.2402746,NA,0.217391304,0.360411899,0.137299771,NA,NA,0.932494279,1.235697941,0.400457666,0.400457666,0.102974828,0.274599542,NA,0.314645309,NA,0.526315789,0.188787185,0.16590389,NA,0.537757437,1.006864989,0.211670481,0.503432494,NA,1.092677346,0.789473684,1.407322654,NA,NA,1.876430206,NA,NA,0.577803204,NA,NA,0.200228833,0.675057208,NA,1.407322654,0.526315789,NA,0.532036613,NA,0.400457666,NA,0.308924485,1.018306636,NA,2.900457666,NA,NA,NA,0.509153318,2.614416476,3.941647597
2021-05-10-5-PX-4,5-PX-4,2021,10/05/2021,May,spring,PX,PX4,sediment,7,relative,NA,0.31,NA,1.26,21.88,1.37,15.59,27.08,0.28,NA,NA,0.33,NA,NA,NA,NA,0.21,0.21,0.55,NA,NA,0.47,NA,NA,NA,0.67,0.87,NA,0.45,0.14,0.36,NA,0.76,NA,0.51,0.25,0.1,0.39,0.93,0.31,0.3,NA,NA,3.8,1.12,3.14,NA,NA,5.15,NA,NA,NA,NA,NA,0.72,NA,NA,0.54,1.88,NA,0.64,NA,0.97,NA,NA,2.02,NA,0.95,NA,NA,NA,1.78,1.67,NA
2021-05-10-5-PX-4,5-PX-4,2021,10/05/2021,May,spring,PX,PX4,sediment,7,absolute,NA,0.114475628,NA,0.465288035,8.079763663,0.505908419,5.757016248,10,0.103397341,NA,NA,0.121861152,NA,NA,NA,NA,7.75E-02,7.75E-02,0.20310192,NA,NA,0.173559823,NA,NA,NA,0.247415066,0.32127031,NA,0.166174298,5.17E-02,0.132939439,NA,0.280649926,NA,0.188330871,9.23E-02,3.69E-02,0.144017725,0.343426883,0.114475628,0.110782866,NA,NA,1.403249631,0.413589365,1.159527326,NA,NA,1.901772526,NA,NA,NA,NA,NA,0.265878877,NA,NA,0.199409158,0.694239291,NA,0.23633678,NA,0.358197932,NA,NA,0.745937962,NA,0.350812408,NA,NA,NA,0.657311669,0.616691285,NA
